table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x58c,0x2370,0x60,0x2398,40,n,0x2623,691,SPAIN_S1\ROAD1A-TGA.GXI
0x594,0x6fc0,0x5f,0x6fa6,26,l,0x6fe7,39,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x598,0x4c94,0x307,0x4cb1,29,n,0x516a,1238,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x59c,0x90cc,0x5f,0x90b6,22,l,0x8f8e,318,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x5a0,0x4444,0xf4c,0x444e,10,l,0x4279,459,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5a8,0x6045,0xdc00,0x603b,10,n,0x60b7,114,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5b0,0x5e34,0x4800,0x5e36,2,n,0x60b7,643,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5b4,0x5c85,0xd04,0x5c88,3,l,0x60b7,1074,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5b8,0x5f91,0x9800,0x5fa4,19,l,0x60b7,294,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5bc,0x5f91,0xc00,0x5fa4,19,l,0x60b7,294,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5c0,0x5e20,0x9c00,0x5e20,0,n,0x60b7,663,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5c4,0x5ceb,0xbc00,0x5c88,99,l,0x60b7,972,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x5cc,0x5406,0x5f54,0x53ea,28,l,0x5422,28,FMV\FUJ3.PSS
0x5d0,0x9400,0x6085,0x940a,10,l,0x8f8e,1138,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x5d4,0x9800,0x185d,0x9809,9,n,0x9f0e,1806,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x5d8,0x4d78,0xc406,0x4d67,17,n,0x516a,1010,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x5e0,0x8084,0x5f,0x8080,4,o,0x8043,65,FMV\CHALL09.PSS|
0x5e4,0x77cc,0x5d,0x77ba,18,l,0x786c,160,FMV\MICROIDS.PSS
0x5e8,0x464c,0x60,0x464a,2,o,0x4279,979,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5ec,0xe9d4,0x5e,0xe9c8,12,l,0xe4b5,1311,HUD\HUD-NUMS.PSB
0x5f0,0x45a0,0x5f,0x45a3,3,n,0x4279,807,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5f4,0x4cc0,0xd,0x4cb1,15,n,0x516a,1194,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x5f8,0xcc04,0x6035,0xcbf8,12,l,0xced9,725,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x5fc,0x2800,0x5ef9,0x280d,13,n,0x2623,477,SPAIN_S1\ROAD1A-TGA.GXI
0x600,0x2800,0x6063,0x280d,13,n,0x2623,477,SPAIN_S1\ROAD1A-TGA.GXI
0x604,0x7400,0x6012,0x740d,13,l,0x71c0,576,VEHICLES\BRUNO\CAR.PSM
0x608,0x2400,0x5dcb,0x2412,18,n,0x2623,547,SPAIN_S1\ROAD1A-TGA.GXI
0x60c,0x3800,0x4c62,0x380c,12,n,0x396b,363,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x614,0x8c00,0x54c,0x8c16,22,n,0x8f62,866,\FMV\CHALL02.PSS
0x634,0xe400,0x104d,0xe432,50,l,0xe4b5,181,HUD\HUD-NUMS.PSB
0x638,0x4d84,0x7805,0x4d67,29,n,0x516a,998,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x640,0x6012,0x7000,0x601a,8,n,0x60b7,165,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x644,0x5e93,0xb000,0x5e87,12,l,0x60b7,548,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x648,0x5f80,0xe800,0x5f5c,36,l,0x60b7,311,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x650,0x63c8,0x60,0x63e1,25,o,0x60b7,785,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x654,0x8620,0x60,0x8622,2,l,0x8150,1232,S\PS2\OPTIONS.XML
0x658,0xc014,0x5f,0xc026,18,l,0xc003,17,SCREENS\PS2\RACERESULTS.XML
0x65c,0x9228,0x5f,0x922d,5,n,0x8f8e,666,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x660,0x5434,0x60,0x5437,3,n,0x5422,18,FMV\FUJ3.PSS
0x664,0xcf40,0x5f,0xcf4d,13,l,0xced9,103,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x66c,0x6410,0x60,0x63e1,47,o,0x60b7,857,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
