start,end,size,shape,tags,count
504648676,504648749,73,mixed,BX91|BXA0|BXI1,3
504663076,504663189,113,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504677712,504677717,5,mixed,BXA0,1
504681625,504681630,5,mixed,BXI1,1
504700575,504700580,5,mixed,BX{,1
504704544,504704549,5,mixed,BX{,1
504715135,504715206,71,primary_chain_no4,BX*Hd|BX91|BXA0,3
504729600,504729669,69,mixed,BX91|BXA0|BXI1,3
504743829,504743865,36,mixed,BX91|BXA0,2
504747816,504747821,5,mixed,BX{,1
504766627,504766632,5,mixed,BX{,1
504770635,504770640,5,mixed,BX{,1
504780342,504780450,108,mixed,BX*Hd|BXI1,2
504783980,504783985,5,mixed,BX91,1
504793664,504793705,41,mixed,BXA0|BXI1,2
504797094,504797099,5,mixed,BX91,1
504806912,504806983,71,mixed,BX*Hd|BX91|BXU,3
504810721,504810827,106,primary_chain_no4,BX*Hd|BX91|BXA0|BXQ,4
504842533,504842538,5,mixed,BX91,1
504855583,504855588,5,mixed,BXU,1
504868663,504868732,69,mixed,BX91|BXI1|BXT,3
504891009,504891014,5,mixed,BX{,1
504894686,504894691,5,mixed,BX{,1
504904246,504904251,5,mixed,BX*Hd,1
504931548,504931553,5,mixed,BXA0,1
504935385,504935390,5,mixed,BXA0,1
504968496,504968501,5,mixed,BX91,1
504997465,504997605,140,mixed,BX91|BXQ,2
505001573,505001578,5,mixed,BXQ,1
505020503,505020508,5,mixed,BX{,1
505034753,505034840,87,mixed,BX91|BXI1,2
505049026,505049108,82,mixed,BX91|BXI1,2
505063275,505063364,89,mixed,BX91|BXI1,2
505067172,505067269,97,mixed,BX91|BXI1,2
505086693,505086747,54,mixed,BXBa|BXI1,2
505100414,505100505,91,mixed,BX91|BXA0|BXI1,3
505117565,505117570,5,mixed,BX91,1
505127528,505127632,104,mixed,BX91|BXA0|BXI1,3
505131432,505131437,5,mixed,BXA0,1
505167754,505167759,5,mixed,BX*Hd,1
505177414,505177419,5,mixed,BXQ,1
505189933,505189938,5,mixed,BX91,1
505225206,505225260,54,mixed,BXA0|BXI1,2
505242324,505242329,5,mixed,BXA0,1
505252737,505252781,44,mixed,BX91|BXA0,2
505256825,505256877,52,mixed,BX91|BXA0,2
505290114,505290199,85,mixed,BX91|BXA0|BXT,3
505320541,505320587,46,mixed,BX91|BXBa,2
505343115,505343165,50,mixed,BXU|BX{,2
505356572,505356675,103,mixed,BX91|BXA0|BXU,3
505360255,505360260,5,mixed,BX{,1
505369758,505369763,5,mixed,BX91,1
505373682,505373687,5,mixed,BXQ,1
505383213,505383390,177,mixed,BX91|BX{,2
505404390,505404395,5,mixed,BX{,1
505416329,505416334,5,mixed,BX*Hd,1
505428625,505428791,166,mixed,BX91|BXI1|BX{,3
505431923,505431928,5,mixed,BXU,1
505441015,505441093,78,mixed,BX*Hd|BXQ|BXQ,3
505444568,505444653,85,mixed,BX91|BXU,2
505475033,505475038,5,mixed,BX91,1
505478289,505478294,5,mixed,BXQ,1
505486828,505486833,5,mixed,BX91,1
505498934,505498982,48,mixed,BXA0|BXQ,2
505532997,505533002,5,mixed,BX91,1
505546146,505546272,126,mixed,BX*Hd|BX91|BXI1,3
505549869,505549874,5,mixed,BXBa,1
505560128,505560237,109,mixed,BX*Hd|BX91|BXU,3
505564245,505564250,5,mixed,BXA0,1
505598789,505598841,52,mixed,BXI1|BXQ,2
505613979,505614019,40,mixed,BX*Hd|BX91,2
505629337,505629429,92,mixed,BX91|BXI1,2
505651529,505651534,5,mixed,BX91,1
505664636,505664728,92,mixed,BX91|BXA0|BXI1,3
505688313,505688408,95,mixed,BX91|BXA0|BXI1,3
505691540,505691545,5,mixed,BXQ,1
505708339,505708512,173,mixed,BX91|BX{,2
505719861,505719866,5,mixed,BXA0,1
505731127,505731224,97,mixed,BX91|BXU,2
505743219,505743317,98,mixed,BX91|BXU,2
505764399,505764509,110,mixed,BX91|BXT,2
505776864,505776960,96,mixed,BX91|BXA0|BXI1,3
505789367,505789467,100,mixed,BX91|BXA0|BXI1,3
505801970,505802057,87,mixed,BX91|BXA0|BXI1,3
505823283,505823288,5,mixed,BXBa,1
505835306,505835393,87,mixed,BX91|BXA0|BXI1,3
505847755,505847807,52,mixed,BX91|BXA0,2
505860679,505860684,5,mixed,BX91,1
505895086,505895126,40,mixed,BX*Hd|BX91,2
505919803,505919844,41,mixed,BX*Hd|BX91,2
505952917,505952958,41,mixed,BX91|BXA0,2
505965958,505965963,5,mixed,BX91,1
505969902,505969907,5,mixed,BX91,1
505980102,505980107,5,mixed,BX91,1
506014364,506014450,86,mixed,BX91|BXA0|BXI1,3
506025503,506025583,80,mixed,BX91|BXA0|BXI1,3
506057105,506057159,54,mixed,BX91|BXA0,2
506069270,506069413,143,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
506081084,506081162,78,mixed,BX91|BXA0|BXI1,3
506093174,506093221,47,mixed,BX91|BXA0,2
506114411,506114416,5,mixed,BX{,1
506126296,506126408,112,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
506138301,506138306,5,mixed,BXA0,1
506149937,506149974,37,mixed,BX*Hd|BX91,2
506153192,506153197,5,mixed,BXU,1
506170838,506170843,5,mixed,BXU,1
506173936,506173941,5,mixed,BXU,1
506182230,506182364,134,mixed,BX91|BXA0|BXQ,3
506193705,506193824,119,mixed,BX91|BXA0|BXQ,3
506205666,506205741,75,mixed,BX91|BXA0|BXI1,3
506226081,506226176,95,mixed,BXU|BXU,2
506237932,506238016,84,mixed,BXA0|BXI1|BX{,3
506241002,506241007,5,mixed,BXI1,1
506249926,506249995,69,mixed,BX91|BXA0|BXI1,3
506262160,506262201,41,mixed,BXA0|BXI1,2
506265380,506265417,37,mixed,BXA0|BXI1,2
506282825,506282965,140,mixed,BXU|BX{|BX{,3
506295367,506295435,68,mixed,BX91|BXA0|BXI1,3
506298429,506298461,32,primary_chain_no4,BX*Hd|BX91|BXA0,3
506307478,506307548,70,mixed,BX91|BXA0|BXU,3
506319512,506319550,38,mixed,BXA0|BXU,2
506322673,506322678,5,mixed,BXU,1
506340030,506340035,5,mixed,BXU,1
506351699,506351736,37,mixed,BXA0|BXI1,2
506363151,506363193,42,mixed,BX91|BXA0,2
506374363,506374401,38,mixed,BX91|BXA0,2
506414760,506414832,72,mixed,BX91|BXA0|BXU,3
506427748,506427903,155,variant_chain,BX91|BXBa|BX{,3
506432035,506432040,5,mixed,BX{,1
506450066,506450071,5,mixed,BXA0,1
506463248,506463318,70,mixed,BX91|BXA0|BXI1,3
506466585,506466590,5,mixed,BX{,1
506475788,506475826,38,mixed,BX91|BXA0,2
506488553,506488625,72,mixed,BX91|BXA0|BXI1,3
506509986,506509991,5,mixed,BXU,1
506522223,506522261,38,mixed,BX91|BXA0,2
506534237,506534242,5,mixed,BX91,1
506537612,506537650,38,mixed,BX91|BX{,2
506546925,506546994,69,mixed,BX91|BXA0|BXU,3
506550449,506550454,5,mixed,BX{,1
506581669,506581674,5,mixed,BX91,1
506585034,506585039,5,mixed,BXQ,1
506607512,506607517,5,mixed,BX91,1
506642992,506643083,91,mixed,BX91|BXA0|BXU,3
506656513,506656553,40,mixed,BX91|BXA0,2
506660134,506660139,5,mixed,BXI1,1
506660768,506660773,5,mixed,BXT,1
506670767,506670857,90,mixed,BX91|BXA0|BXQ,3
506694505,506694510,5,mixed,BXU,1
506708662,506708667,5,mixed,BXU,1
506723134,506723139,5,mixed,BX91,1
506727101,506727106,5,mixed,BX91,1
506739006,506739011,5,mixed,BX91,1
506743614,506743619,5,mixed,BX91,1
506765050,506765055,5,mixed,BX{,1
506769294,506769299,5,mixed,BX{,1
506780342,506780426,84,mixed,BX91|BXA0|BXI1,3
506784373,506784456,83,mixed,BX91|BXA0|BXI1,3
506795997,506796126,129,mixed,BX91|BXA0|BXI1|BXQ,4
506800416,506800421,5,mixed,BXQ,1
506811758,506811881,123,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
506836973,506837023,50,mixed,BX91|BXA0,2
506851666,506851764,98,mixed,BX91|BXA0|BXI1,3
506866761,506866850,89,mixed,BX91|BXA0|BXI1,3
506882054,506882059,5,mixed,BX91,1
506905613,506905758,145,mixed,BX91|BXBa|BXU|BX{,4
506909758,506909906,148,mixed,BX91|BXBa|BXU|BX{,4
506920909,506920992,83,mixed,BX91|BXA0|BXI1,3
506925120,506925209,89,mixed,BX91|BXA0|BXI1,3
506936462,506936560,98,mixed,BX91|BXA0|BXI1,3
506940686,506940778,92,mixed,BX91|BXA0|BXI1,3
506951607,506951694,87,mixed,BX91|BXA0|BXI1,3
506955440,506955445,5,mixed,BXI1,1
506974164,506974205,41,mixed,BXBa|BXU,2
506987823,506987828,5,mixed,BX91,1
506991573,506991627,54,mixed,BXA0|BXI1,2
507001877,507001882,5,mixed,BX91,1
507005722,507005727,5,mixed,BXA0,1
507016076,507016118,42,mixed,BX91|BXA0,2
507037857,507037862,5,mixed,BXU,1
507041368,507041373,5,mixed,BXU,1
507053442,507053554,112,mixed,BX*Hd|BX91|BXU,3
507057324,507057438,114,mixed,BX*Hd|BX91|BXU,3
507070828,507070833,5,mixed,BX*Hd,1
507082899,507082936,37,mixed,BX*Hd|BX91,2
507096575,507096580,5,mixed,BX91,1
507120549,507120554,5,mixed,BX{,1
507126513,507126518,5,mixed,BX{,1
507143321,507143471,150,primary_chain,BX*Hd|BX91|BXA0|BXI1|BXQ,5
507151018,507151143,125,mixed,BX91|BXA0|BXI1|BXQ,4
507168992,507169155,163,primary_chain,BX*Hd|BX91|BXA0|BXI1|BXQ,5
507176752,507176890,138,mixed,BX91|BXA0|BXI1|BXQ,4
507193797,507193931,134,mixed,BX91|BXA0|BXI1|BXT,4
507201236,507201315,79,mixed,BX91|BXA0|BXI1,3
507222550,507222596,46,mixed,BX91|BXBa,2
507240903,507241012,109,primary_chain_no4,BX*Hd|BX91|BXA0|BXT,4
507245321,507245436,115,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
507256180,507256219,39,mixed,BX91|BXA0,2
507272064,507272193,129,mixed,BX91|BXA0|BXI1|BX{,4
507288627,507288719,92,variant_chain,BX91|BXBa|BX{,3
507319895,507319994,99,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
507337492,507337592,100,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
